220;29;0;21;14;0;9;7;0;0;99;0;(1,12);(2,21);(3,36);(4,21);(5,21);(6,62);(7,85);(8,59);(9,62);(10,45);(11,92);(12,21);(13,49);(14,27);(15,21);(16,36);(17,38);(18,85);(19,1);(20,16);(21,62);(22,54);(23,66);(24,0);(25,20);(26,1);(27,36);(28,8);(29,44);(30,0);(31,1);(32,85);(33,42);(34,23);(35,24);(36,6);(37,88);(38,9);(39,46);(40,18);(41,78);(42,69);(43,49);(44,85);(45,33);(46,91);(47,49);(48,40);(49,53);(50,20);
230;26;0;19;17;0;11;7;0;0;104;0;(1,12);(2,21);(3,36);(4,21);(5,21);(6,62);(7,85);(8,59);(9,62);(10,45);(11,92);(12,22);(13,49);(14,27);(15,21);(16,36);(17,38);(18,85);(19,1);(20,17);(21,62);(22,54);(23,66);(24,0);(25,21);(26,1);(27,36);(28,8);(29,44);(30,0);(31,1);(32,85);(33,42);(34,23);(35,24);(36,6);(37,88);(38,9);(39,46);(40,18);(41,78);(42,69);(43,49);(44,85);(45,33);(46,91);(47,49);(48,40);(49,53);(50,20);
240;25;0;18;18;0;12;7;0;0;109;0;(1,12);(2,21);(3,36);(4,21);(5,21);(6,62);(7,85);(8,59);(9,62);(10,45);(11,92);(12,22);(13,49);(14,27);(15,21);(16,36);(17,38);(18,85);(19,1);(20,17);(21,62);(22,54);(23,66);(24,0);(25,21);(26,1);(27,36);(28,8);(29,44);(30,0);(31,1);(32,85);(33,42);(34,23);(35,24);(36,6);(37,88);(38,9);(39,46);(40,18);(41,78);(42,69);(43,49);(44,85);(45,33);(46,91);(47,49);(48,40);(49,53);(50,21);
250;25;0;18;18;0;12;7;0;0;114;0;(1,12);(2,21);(3,36);(4,21);(5,21);(6,62);(7,85);(8,59);(9,62);(10,45);(11,92);(12,22);(13,49);(14,27);(15,21);(16,36);(17,38);(18,85);(19,1);(20,17);(21,62);(22,54);(23,66);(24,0);(25,21);(26,1);(27,36);(28,8);(29,44);(30,0);(31,1);(32,85);(33,42);(34,23);(35,24);(36,6);(37,88);(38,9);(39,46);(40,18);(41,78);(42,69);(43,49);(44,85);(45,33);(46,91);(47,49);(48,40);(49,53);(50,21);
260;25;0;17;18;0;13;7;0;0;118;0;(1,12);(2,21);(3,36);(4,21);(5,21);(6,62);(7,85);(8,59);(9,62);(10,45);(11,92);(12,22);(13,49);(14,27);(15,21);(16,36);(17,38);(18,85);(19,1);(20,17);(21,62);(22,54);(23,66);(24,0);(25,21);(26,1);(27,36);(28,8);(29,44);(30,0);(31,1);(32,85);(33,42);(34,23);(35,24);(36,6);(37,88);(38,9);(39,46);(40,18);(41,78);(42,69);(43,49);(44,85);(45,33);(46,91);(47,49);(48,40);(49,53);(50,21);
270;23;0;16;20;0;14;7;0;0;123;0;(1,12);(2,21);(3,36);(4,21);(5,21);(6,62);(7,85);(8,59);(9,62);(10,45);(11,92);(12,22);(13,49);(14,27);(15,21);(16,36);(17,38);(18,85);(19,1);(20,17);(21,62);(22,54);(23,66);(24,0);(25,21);(26,1);(27,36);(28,8);(29,44);(30,1);(31,1);(32,85);(33,42);(34,23);(35,25);(36,6);(37,88);(38,9);(39,46);(40,18);(41,78);(42,69);(43,49);(44,85);(45,33);(46,91);(47,49);(48,40);(49,53);(50,21);
280;23;0;16;20;0;14;7;0;0;127;0;(1,12);(2,21);(3,36);(4,21);(5,21);(6,62);(7,85);(8,59);(9,62);(10,45);(11,92);(12,22);(13,49);(14,27);(15,21);(16,36);(17,38);(18,85);(19,1);(20,17);(21,62);(22,54);(23,66);(24,0);(25,21);(26,1);(27,36);(28,8);(29,44);(30,1);(31,1);(32,85);(33,42);(34,23);(35,25);(36,6);(37,88);(38,9);(39,46);(40,18);(41,78);(42,69);(43,49);(44,85);(45,33);(46,91);(47,49);(48,40);(49,53);(50,21);
290;22;0;15;21;0;15;7;0;0;131;0;(1,12);(2,21);(3,36);(4,21);(5,21);(6,62);(7,85);(8,59);(9,62);(10,45);(11,92);(12,22);(13,49);(14,27);(15,21);(16,37);(17,38);(18,85);(19,1);(20,17);(21,62);(22,54);(23,66);(24,0);(25,21);(26,1);(27,36);(28,8);(29,44);(30,1);(31,1);(32,85);(33,42);(34,23);(35,25);(36,6);(37,88);(38,9);(39,46);(40,18);(41,78);(42,69);(43,49);(44,85);(45,33);(46,91);(47,49);(48,40);(49,53);(50,21);
300;22;0;15;21;0;15;7;0;0;135;0;(1,12);(2,21);(3,36);(4,21);(5,21);(6,62);(7,85);(8,59);(9,62);(10,45);(11,92);(12,22);(13,49);(14,27);(15,21);(16,37);(17,38);(18,85);(19,1);(20,17);(21,62);(22,54);(23,66);(24,0);(25,21);(26,1);(27,36);(28,8);(29,44);(30,1);(31,1);(32,85);(33,42);(34,23);(35,25);(36,6);(37,88);(38,9);(39,46);(40,18);(41,78);(42,69);(43,49);(44,85);(45,33);(46,91);(47,49);(48,40);(49,53);(50,21);
310;21;0;14;22;0;16;7;0;0;140;0;(1,12);(2,21);(3,36);(4,21);(5,21);(6,62);(7,85);(8,59);(9,62);(10,45);(11,92);(12,22);(13,49);(14,27);(15,22);(16,37);(17,38);(18,85);(19,1);(20,17);(21,62);(22,54);(23,66);(24,0);(25,21);(26,1);(27,36);(28,8);(29,44);(30,1);(31,1);(32,85);(33,42);(34,23);(35,25);(36,6);(37,88);(38,9);(39,46);(40,18);(41,78);(42,69);(43,49);(44,85);(45,33);(46,91);(47,49);(48,40);(49,53);(50,21);
320;21;0;14;22;0;16;7;0;0;146;0;(1,12);(2,21);(3,36);(4,21);(5,21);(6,62);(7,85);(8,59);(9,62);(10,45);(11,92);(12,22);(13,49);(14,27);(15,22);(16,37);(17,38);(18,85);(19,1);(20,17);(21,62);(22,54);(23,66);(24,0);(25,21);(26,1);(27,36);(28,8);(29,44);(30,1);(31,1);(32,85);(33,42);(34,23);(35,25);(36,6);(37,88);(38,9);(39,46);(40,18);(41,78);(42,69);(43,49);(44,85);(45,33);(46,91);(47,49);(48,40);(49,53);(50,21);
330;21;0;14;22;0;16;7;0;0;152;0;(1,12);(2,21);(3,36);(4,21);(5,21);(6,62);(7,85);(8,59);(9,62);(10,45);(11,92);(12,22);(13,49);(14,27);(15,22);(16,37);(17,38);(18,85);(19,1);(20,17);(21,62);(22,54);(23,66);(24,0);(25,21);(26,1);(27,36);(28,8);(29,44);(30,1);(31,1);(32,85);(33,42);(34,23);(35,25);(36,6);(37,88);(38,9);(39,46);(40,18);(41,78);(42,69);(43,49);(44,85);(45,33);(46,91);(47,49);(48,40);(49,53);(50,21);
340;21;0;14;22;0;16;7;0;0;157;0;(1,12);(2,21);(3,36);(4,21);(5,21);(6,62);(7,85);(8,59);(9,62);(10,45);(11,92);(12,22);(13,49);(14,27);(15,22);(16,37);(17,38);(18,85);(19,1);(20,17);(21,62);(22,54);(23,66);(24,0);(25,21);(26,1);(27,36);(28,8);(29,44);(30,1);(31,1);(32,85);(33,42);(34,23);(35,25);(36,6);(37,88);(38,9);(39,46);(40,18);(41,78);(42,69);(43,49);(44,85);(45,33);(46,91);(47,49);(48,40);(49,53);(50,21);
