110;28;5;26;7;25;1;3;1;3;0;0;3;0;3;0;22.991376227919076;0;(1,1);(2,1);(3,2);(4,2);(5,1);(6,1);(7,3);(8,3);(9,1);(10,1);(11,3);(12,1);(13,1);(14,2);(15,4);(16,1);(17,3);(18,1);(19,1);(20,1);(21,1);(22,1);(23,1);(24,2);(25,1);(26,1);(27,2);(28,1);(29,1);(30,1);(31,2);(32,1);(33,1);(34,1);(35,1);(36,1);(37,3);(38,1);(39,3);(40,2);
120;26;7;25;8;25;1;3;1;3;0;1;2;1;2;0;25.456185226902406;0;(1,1);(2,1);(3,2);(4,2);(5,1);(6,1);(7,3);(8,3);(9,1);(10,1);(11,3);(12,1);(13,1);(14,2);(15,4);(16,1);(17,3);(18,1);(19,1);(20,1);(21,1);(22,1);(23,1);(24,2);(25,1);(26,1);(27,2);(28,1);(29,1);(30,1);(31,2);(32,1);(33,1);(34,1);(35,1);(36,1);(37,3);(38,1);(39,3);(40,2);
130;27;5;24;8;24;2;3;2;3;1;1;2;1;2;0;27.9680177181843;0;(1,1);(2,1);(3,2);(4,2);(5,1);(6,1);(7,3);(8,3);(9,1);(10,1);(11,3);(12,1);(13,1);(14,2);(15,4);(16,1);(17,3);(18,1);(19,1);(20,1);(21,1);(22,1);(23,2);(24,2);(25,1);(26,1);(27,2);(28,1);(29,1);(30,1);(31,2);(32,1);(33,1);(34,1);(35,1);(36,1);(37,3);(38,1);(39,3);(40,2);
140;27;4;25;6;24;1;5;2;4;1;0;3;0;3;0;30.91305824869406;0;(1,1);(2,1);(3,2);(4,2);(5,1);(6,1);(7,3);(8,3);(9,1);(10,1);(11,3);(12,1);(13,1);(14,2);(15,4);(16,1);(17,3);(18,1);(19,2);(20,1);(21,1);(22,1);(23,2);(24,2);(25,1);(26,1);(27,2);(28,1);(29,1);(30,1);(31,2);(32,1);(33,1);(34,1);(35,1);(36,1);(37,3);(38,1);(39,3);(40,2);
150;25;6;23;8;23;2;3;2;3;2;0;4;0;4;0;33.08471286691541;0;(1,1);(2,1);(3,2);(4,2);(5,1);(6,1);(7,3);(8,3);(9,1);(10,1);(11,3);(12,1);(13,1);(14,2);(15,4);(16,1);(17,3);(18,1);(19,2);(20,1);(21,1);(22,1);(23,2);(24,2);(25,1);(26,1);(27,2);(28,1);(29,1);(30,1);(31,2);(32,1);(33,1);(34,1);(35,1);(36,1);(37,3);(38,1);(39,3);(40,3);
160;24;7;22;9;22;2;2;2;2;3;1;4;1;4;0;35.257646789314144;0;(1,1);(2,1);(3,2);(4,2);(5,1);(6,1);(7,3);(8,3);(9,1);(10,1);(11,3);(12,1);(13,1);(14,3);(15,4);(16,1);(17,3);(18,1);(19,2);(20,1);(21,1);(22,1);(23,3);(24,3);(25,1);(26,1);(27,2);(28,1);(29,1);(30,1);(31,2);(32,1);(33,1);(34,1);(35,1);(36,1);(37,3);(38,1);(39,3);(40,3);
170;24;5;23;6;22;3;3;3;3;3;0;5;0;5;0;37.71233723882968;0;(1,1);(2,1);(3,2);(4,2);(5,1);(6,2);(7,3);(8,3);(9,1);(10,1);(11,3);(12,1);(13,1);(14,3);(15,4);(16,1);(17,3);(18,1);(19,2);(20,1);(21,1);(22,2);(23,3);(24,3);(25,1);(26,1);(27,2);(28,1);(29,1);(30,1);(31,2);(32,1);(33,1);(34,1);(35,1);(36,1);(37,3);(38,1);(39,3);(40,3);
180;25;4;23;6;22;4;2;4;2;3;1;4;1;4;0;40.07319106085463;0;(1,1);(2,1);(3,3);(4,2);(5,1);(6,2);(7,3);(8,3);(9,1);(10,1);(11,3);(12,1);(13,1);(14,3);(15,4);(16,1);(17,3);(18,1);(19,2);(20,1);(21,1);(22,3);(23,3);(24,3);(25,1);(26,1);(27,2);(28,1);(29,1);(30,1);(31,2);(32,1);(33,1);(34,1);(35,1);(36,1);(37,3);(38,2);(39,3);(40,3);
190;23;5;21;6;21;3;4;4;4;4;1;4;1;4;0;42.401586942316406;0;(1,1);(2,1);(3,3);(4,2);(5,1);(6,2);(7,3);(8,3);(9,1);(10,1);(11,3);(12,1);(13,1);(14,3);(15,4);(16,1);(17,3);(18,1);(19,2);(20,1);(21,1);(22,3);(23,3);(24,3);(25,1);(26,1);(27,3);(28,1);(29,1);(30,1);(31,2);(32,1);(33,1);(34,1);(35,1);(36,1);(37,3);(38,2);(39,3);(40,3);
200;22;6;21;7;21;5;5;5;5;4;1;1;1;1;0;44.912730380163666;0;(1,1);(2,1);(3,3);(4,2);(5,1);(6,2);(7,3);(8,3);(9,2);(10,1);(11,3);(12,1);(13,1);(14,3);(15,4);(16,1);(17,3);(18,2);(19,2);(20,1);(21,1);(22,3);(23,3);(24,4);(25,1);(26,1);(27,3);(28,1);(29,1);(30,1);(31,2);(32,1);(33,1);(34,1);(35,1);(36,1);(37,3);(38,2);(39,3);(40,4);
